day of year,jimbaran_clim,jimbaran_p90,nusadua_clim,nusadua_p90,sanur_clim,sanur_p90
1,28.1192699427266,28.8412895079582,28.0671615202193,28.7859669346963,28.0286751899979,28.7504189460508
2,28.1133878132433,28.8352249760782,28.0610154608501,28.7802895084504,28.0215954431464,28.7437738172470
3,28.1077043399570,28.8296120674379,28.0551995501593,28.7759023974019,28.0148136813122,28.7382899438181
4,28.1020984368129,28.8245798172489,28.0495614849781,28.7725475434334,28.0082542254630,28.7329996232064
5,28.0972758085510,28.8214185160975,28.0446735857339,28.7699669007332,28.0023730401813,28.7291286283924
6,28.0934691672216,28.8198055759553,28.0408092412894,28.7679023988785,27.9974700021355,28.7257092568182
7,28.0908478446417,28.8192249175041,28.0380744014240,28.7677088706724,27.9937002525120,28.7239673429920
8,28.0902083595964,28.8211604456748,28.0372778842628,28.7719023919875,27.9919123402426,28.7282254188291
9,28.0916509858292,28.8274185303719,28.0386779431149,28.7785475577078,27.9924496586303,28.7364189455586
10,28.0952618086185,28.8350959777832,28.0422386299346,28.7869346618652,27.9951769311699,28.7455156818513
11,28.1001288982579,28.8439991858698,28.0470981535111,28.7959669420796,27.9991964184248,28.7553866540232
12,28.1060876531404,28.8536765806137,28.0530408282773,28.8057734089513,28.0043113549466,28.7653866614065
13,28.1133461902446,28.8643217394429,28.0603438283827,28.8166766382033,28.0108575652691,28.7755157163066
14,28.1218628865715,28.8767733912314,28.0689522880084,28.8290637477752,28.0187470731846,28.7859673223188
15,28.1313747593240,28.8895475695210,28.0785493009354,28.8431282781786,28.0276327026294,28.7986769830027
16,28.1416396362117,28.9025798182334,28.0890677023652,28.8580315128450,28.0375390492169,28.8120318197435
17,28.1537035098050,28.9165153134254,28.1016930788443,28.8748379799628,28.0497387400995,28.8263866793725
18,28.1670573211227,28.9310959231469,28.1158392741207,28.8923218204129,28.0634543637296,28.8429028172647
19,28.1807382881416,28.9454184624457,28.1304766313587,28.9093218218896,28.0776580284269,28.8588060379028
20,28.1945247206087,28.9597410386608,28.1451650931814,28.9259024773875,28.0918295495531,28.8744189293154
21,28.2084044531452,28.9737410514585,28.1599445000196,28.9421928036597,28.1061331265675,28.8900640795308
22,28.2226036783763,28.9878055818619,28.1750424110543,28.9585153887349,28.1207920991419,28.9053543829149
23,28.2365853271109,29.0016765594482,28.1898858522627,28.9746444209929,28.1351682231551,28.9203220982705
24,28.2499378970461,29.0153539842175,28.2040264274706,28.9901282771941,28.1488055336634,28.9349672255977
25,28.2629432901959,29.0289023737754,28.2177214427180,29.0054185805782,28.1619868797697,28.9496123529250
26,28.2761038243517,29.0419346840151,28.2315526801154,29.0201282870385,28.1753110695264,28.9642574802522
27,28.2896550490405,29.0543863358036,28.2456658198878,29.0345799230760,28.1889010804591,28.9792897132135
28,28.3031930300069,29.0671605387042,28.2596465215339,29.0490315591135,28.2024409552417,28.9945800165976
29,28.3170006170752,29.0794186007592,28.2737464175839,29.0630315719112,28.2162334074779,29.0094186967419
30,28.3315801273151,29.0927089198943,28.2883997137618,29.0772251375260,28.2306133169583,29.0249025529431
31,28.3466297911443,29.1058702038180,28.3034588376504,29.0914187031408,28.2454964900556,29.0410315852011
32,28.3620540646683,29.1197411814044,28.3188481094956,29.1069025593419,28.2607845435947,29.0579993217222
33,28.3779371402514,29.1363218369022,28.3346706419611,29.1227735211772,28.2766335658506,29.0758702678065
34,28.3944710533121,29.1540637477752,28.3512348257687,29.1409025746007,28.2934153281394,29.0965154094081
35,28.4115895836144,29.1723217994936,28.3683940336050,29.1605154960386,28.3109009027955,29.1186444559405
36,28.4290704260756,29.1905153336063,28.3860867765270,29.1801284174765,28.3291527244071,29.1405799496558
37,28.4467120857589,29.2088379398469,28.4041522367710,29.2005800431775,28.3480657884791,29.1639347691690
38,28.4643121233456,29.2281282732564,28.4224154090105,29.2220639136530,28.3674376555123,29.1868379654423
39,28.4815857966388,29.2476121348719,28.4404392471581,29.2418703879080,28.3867101933645,29.2082573183121
40,28.4978718622756,29.2650314577164,28.4574064204781,29.2610316491896,28.4048882268729,29.2271605091710
41,28.5128685506738,29.2821927347491,28.4730700271920,29.2793542185137,28.4218137768334,29.2451604904667
42,28.5274773856547,29.2984508022185,28.4883126710021,29.2978703406549,28.4383325534381,29.2623862604941
43,28.5418099928529,29.3145798344766,28.5033396305080,29.3162574521957,28.4546952439329,29.2807733474239
44,28.5559051583319,29.3297411272603,28.5180657673396,29.3343864687027,28.4706984602867,29.2993539871708
45,28.5695656442719,29.3430959640011,28.5322564769835,29.3511283812984,28.4860470555000,29.3178056101645
46,28.5828368576955,29.3559992390294,28.5459779784127,29.3656444734143,28.5007845451247,29.3342572304510
47,28.5959425238672,29.3689024525304,28.5593901423923,29.3793218612671,28.5151114779111,29.3502572274977
48,28.6083008626610,29.3807733843403,28.5718421319859,29.3909347226543,28.5283949899534,29.3667088231733
49,28.6202353998115,29.3927088952834,28.5835808500550,29.4022250575404,28.5408072510863,29.3813539505005
50,28.6320734461596,29.4045153710150,28.5950471247261,29.4135153924265,28.5528269296743,29.3956765267157
51,28.6439105454191,29.4161282939296,28.6065985383086,29.4246766921013,28.5649459363609,29.4098700923304
52,28.6561969879413,29.4279347696612,28.6187478142986,29.4360960621988,28.5777157787207,29.4241926685456
53,28.6693660343463,29.4412896064020,28.6319244289317,29.4484831717706,28.5916028290257,29.4389023134785
54,28.6834138995279,29.4549670311712,28.6460640550663,29.4617089733001,28.6065588407920,29.4534184425108
55,28.6985307261707,29.4688380087576,28.6612329109538,29.4749347748295,28.6225582724003,29.4681281489711
56,28.7144715046885,29.4832251271894,28.6771547715177,29.4883541291760,28.6393485474796,29.4828378554313
57,28.7310404159998,29.4987089833906,28.6937085494403,29.5028702212918,28.6569173677722,29.4978701499201
58,28.7481646205334,29.5151606036771,28.7109235714472,29.5185476303101,28.6751597287830,29.5143217702066
59,28.7666169874671,29.5328379969443,28.7295329742857,29.5353218140141,28.6946621404873,29.5310959785215
60,28.7859992571376,29.5538057265743,28.7492860719729,29.5535798657325,28.7152685160534,29.5491605389503
61,28.8059954705950,29.5770315108761,28.7697940652660,29.5737088664886,28.7366572195935,29.5680637667256
62,28.8264788670116,29.6012895768689,28.7907939701046,29.5943540080901,28.7585255378649,29.5874186177408
63,28.8473756581040,29.6259992661015,28.8121419968324,29.6156443257486,28.7806568409183,29.6066443966281
64,28.8683793451621,29.6490960151918,28.8335335389317,29.6383540307322,28.8026992201343,29.6292895840060
65,28.8892231615453,29.6712895793300,28.8547008832145,29.6606765931652,28.8243915849079,29.6521283242010
66,28.9097481818628,29.6935476610737,28.8756421378495,29.6829991925147,28.8458919148043,29.6753541085028
67,28.9299752178847,29.7165799294749,28.8965020366947,29.7072572585075,28.8674007583934,29.6992250688614
68,28.9498465648720,29.7394186327534,28.9171850369383,29.7306766202373,28.8887809482409,29.7225154322963
69,28.9693754651037,29.7617412321029,28.9375634297620,29.7524185611356,28.9097695008277,29.7449670668571
70,28.9881409558563,29.7825799511325,28.9573203107512,29.7735798435826,28.9301460014591,29.7665154795493
71,29.0067229261462,29.8032896718671,28.9770204330075,29.7955153372980,28.9505925047263,29.7889025965045
72,29.0256340994694,29.8236122869676,28.9972550361748,29.8170637253792,28.9715952472219,29.8116123014881
73,29.0449293418251,29.8439348774572,29.0179872272843,29.8375798317694,28.9929432737693,29.8345155592888
74,29.0646408175962,29.8644509838473,29.0392122766670,29.8577088325254,29.0147236142092,29.8561929825813
75,29.0845632481830,29.8847735374205,29.0607551766506,29.8777088595975,29.0367991025508,29.8770317016109
76,29.1050310386591,29.9057412670505,29.0828779651994,29.8983863215293,29.0594138021941,29.8974833334646
77,29.1258663436952,29.9265799614691,29.1053999589663,29.9203218152446,29.0824229763941,29.9192897919686
78,29.1467148919124,29.9477413054435,29.1277734350317,29.9423863441713,29.1050632162133,29.9410317328668
79,29.1680364322780,29.9696122815532,29.1503900290325,29.9647734611265,29.1276287240886,29.9618059342907
80,29.1895443323872,29.9910316344230,29.1730955445251,29.9868379900532,29.1502122049942,29.9829027360485
81,29.2114098146255,30.0129671281384,29.1960914775288,30.0094186352145,29.1730511017322,30.0043220889184
82,29.2335780124522,30.0350316570651,29.2193267440832,30.0334186307846,29.1961293325622,30.0267091443462
83,29.2555589043488,30.0592897230579,29.2422715934874,30.0576121791716,29.2188793074475,30.0498059180475
84,29.2767915219596,30.0823865336757,29.2642988378712,30.0819347627701,29.2407674905807,30.0736769399335
85,29.2972768120120,30.1051607562650,29.2854671292426,30.1054186544111,29.2617900979382,30.0980640042213
86,29.3167461147711,30.1261930035007,29.3056137587284,30.1284509474231,29.2818733435820,30.1220639997913
87,29.3354870104517,30.1474188035534,29.3251559037651,30.1524509429932,29.3014325132975,30.1460639953613
